original vehicle types,revised vehicle types
RANGE,Unspecified
RD S,Unspecified
RED T,Unspecified
REFG,Truck
REFR,Truck
REFRI,Truck
REFRIGERATED VAN,Van
REFUSE TRU,Truck
RENTA,Unspecified
REP,Unspecified
REPAI,Unspecified
RESCU,Fire Truck
REVEL SCOO,Bike
RGS,Unspecified
RINGO,Unspecified
RMB,Unspecified
RMP,Unspecified
RMP V,Unspecified
ROAD,Sanitation
ROADS,Sanitation
ROAD SWEEP,Sanitation
ROOD,Sanitation
RUBBE,Unspecified
RV,Van
R V,Van
R V C,Van
RV TR,Truck
RV VAN,Van
SANIT,Sanitation
SANITAION,Sanitation
SANITATION,Sanitation
SANITATON,Sanitation
SANMEN COU,Unspecified
SANTA,Sanitation
SANTI,Sanitation
SC,School Bus
SCHOO,School Bus
SCHOOL BU,School Bus
SCHOOL BUS,School Bus
SCL,School Bus
SCOM,Unspecified
SCOMM,Unspecified
SCOO,Scooter
SCOOC,Scooter
SCOOT,Scooter
SCOOTER,Scooter
SCOOTER GA,Scooter
SD,Unspecified
SE,Unspecified
SEA,Unspecified
SEAGR,Unspecified
SEDAN,Passenger Car
SEDONA,Passenger Car
SEGWA,Scooter
SELF,Unspecified
SELF ,Unspecified
SELF INSUR,Unspecified
SEMI,Truck
SEMI ,Truck
SEMI TRAIL,Truck
SERVI,Unspecified
SFI,Truck
SGWS,Unspecified
SHOVE,Construction Vehicle
SHUTTLE BU,Bus
SKATE,Skateboard
SKATEBOARD,Skateboard
SKID ,Construction Vehicle
SKID LOADE,Construction Vehicle
SKYWATCH,Construction Vehicle
SLINGSHOT,Unspecified
SMALL,Commercial
SMALL COM VEH 4 TIRES ,Commercial
SMART,Passenger Car
SMART CAR,Passenger Car
SMYELLSCHO,Unspecified
SM YW,Unspecified
SNOW,Unspecified
SNOWMOBILE,Utility Vehicle
SNOW PLOW,Construction Vehicle
SPARK150 S,Bike
SPC,Unspecified
SPEC,Unspecified
SPECIAL CO,Unspecified
SPORT UTILITY STATION WAGON,Utility Vehicle
SPRIN,Van
SPRINTER,Van
SPRINTER V,Van
SS,Unspecified
ST,Unspecified
ST150,Unspecified
STACK,Unspecified
STAK,Truck
STAKE,Truck
STAKE OR RACK,Truck
STATE,Unspecified
STATION WAGON SPORT UTILITY VEHICLE,Utility Vehicle
STERL,Unspecified
STREE,Sanitation
STREET CLE,Sanitation
STREET SWE,Sanitation
SUB,Unspecified
SUBN,Unspecified
SUBN AMB,Unspecified
SUBN WHI,Unspecified
SUBR,Unspecified
SUBUR,Unspecified
SUBURBAN,Unspecified
SUDN,Unspecified
SURET,Unspecified
SUV,Passenger Car
SW,Sanitation
SWEEP,Sanitation
SWEPE,Sanitation
SWT,Unspecified
SW VAN,Van
SYBN,Unspecified
T880,Truck
TAILG,Bike
TANK,Truck
TANKE,Truck
TANKER,Truck
TAN P,Unspecified
TAXI,Passenger Car
TC,Unspecified
TCM,Unspecified
TCN,Unspecified
T CR,Unspecified
TE,Unspecified
TF,Unspecified
TIR,Unspecified
TK,Unspecified
TKTR,Unspecified
TL,Unspecified
TLC,Unspecified
TLC P,Unspecified
TLR,Unspecified
TL TR,Unspecified
TOKEN,Unspecified
TOW,Truck
TOWER,Truck
TOWE TRUCK,Truck
TOWMA,Unspecified
TOW T,Truck
TOWTR,Truck
TOW TRUCK,Truck
TOW TRUCK WRECKER,Truck
TR,Truck
TRAC,Truck
TRAC ,Truck
TRACK,Construction Vehicle
TRACK EXCA,Construction Vehicle
TRACT,Truck
TRACTOR,Truck
TRACTOR TR,Truck
TRACTOR TRUCK DIESEL,Truck
TRACTOR TRUCK GASOLINE,Truck
TRAIL,Truck
TRAILEE,Truck
TRAILER,Truck
TRAILER FL,Truck
TRAILOR,Truck
TRALI,Truck
TRAM,Unspecified
TRANS,Unspecified
TRC,Unspecified
TRK,Unspecified
TR KI,Unspecified
TRL,Unspecified
TRLR,Unspecified
TRLR PLT ,Unspecified
TRT,Unspecified
TR TR,Unspecified
TR TRAILER,Truck
TRUCK,Truck
TRUCK COMM,Truck
TRUCK FLAT,Truck
TRUCK TRAI,Truck
TRUCK VAN,Truck
TTAILER,Truck
TTRAILER,Truck
UHAL,Van
U HAL,Van
U HAU,Van
UHAUL,Van
U HAUL TRU,Truck
UHUAL,Van
UKN,Unspecified
ULILI,Unspecified
UNK,Unspecified
UNKN,Unspecified
UNKNO,Unspecified
UNKNOWN,Unspecified
UNKNW,Unspecified
UNKOW,Unspecified
UNKOWN,Unspecified
